63736112;ZAMORA/ZAVALETA/RONAL MANUEL;989320773
45043076;VEGA/VILCARA/CARMELA TERESA;986528258
53853385;SOLIS/NARVAEZ/MARIA MADELEINE;979972955
27185429;SOLIS/CHUNG/ROLANDO;973027511
35912665;MARTINEZ/CRUZ/EVERT RONY;995201948
13219606;RODRIGUEZ/MORENO/BLANCA OFELIA;981992831
71832810;SUELDO/SEDANO/ADRIA;992023606
35297848;ASTETE/CHANG/GUIDA;995562110
80310768;MINAYA/BERROCAL/HELI;977759788
75945248;MEJIA/RODRIGUEZ/INES VALENTINA;982951481
84186239;RIVERO/CORONADO/HECTOR ALONSO;999866685
68310808;CANO/POLO/MILAGROS ISABEL;976640346
97849227;PRADO/ESPINOZA/MILAGROS;996306488
88854166;PINTO/ROJAS/JUVENAL FRANCISCO;972680462
15029228;VALVERDE/MAEIREIZO/MELVIN JAIR;982628676
60335381;DIAZ/TANG/ENRIQUE;993697955
54141214;DURAND/MIRANDA/MIGUEL JUAN;986933560
79766395;FUENTES/ESCALANTE/PATRICIA ELIZABETH;984879474
48878256;RAFFO/CORONADO/ROLANDO;979340890
89314225;RIOS/DURAND/CARLOS EDILBERTO;972378938
48450395;RAMIREZ/ASTETE/KARINA ESTEFANIA;977189363
31107104;MOSCOSO/ARIAS/FIORELLA;981642318
16477908;BACA/CAMACHO/MILAGROS NATALIA;981924881
58992942;NARVAEZ/CASTILLO/JESUS RAFAEL;991021805
77763722;FARFAN/SALAZAR/MARGOT;981245337
32090869;SUELDO/ANTEZANO/LUIS JESUS;977794034
66849703;MERCADO/CORONEL/ELIA;991784560
26522329;SANCHEZ/DEL_CASTILLO/FIORELLA ROSARIO;992374683
73357516;TRIGUEROS/JUGO/LUZ;989411713
48528209;ZAVALETA/CORONADO/FELICITA ELOISA;974864057
69494747;MENDOZA/ROMERO/VIRGINIA YDALI;997718422
47844324;VILCA/LEE/NESTOR HUGO;975072906
82870470;SEDANO/RETAMOSO/ELIA YOLANDA;978258726
89941095;ARCA/LARRIEGA/LUCERO YLIANA;976591986
87495937;MORALES/PASQUEL/KARIN MARIBEL;974326410
49927087;INGA/PALOMARES/ERIKA;998698530
